KeyReleased,Key.f8,7.8557169
start
KeyPressed,Key.esc,7.9653524
KeyReleased,Key.esc,8.0614112
KeyPressed,r,8.2856965
KeyReleased,'r',8.3569404
KeyPressed,Key.enter,8.4451184
KeyReleased,Key.enter,8.5255371
KeyPressed,d,18.4532993
KeyPressed,w,18.7412602
KeyPressed,Key.shift,18.9010952
KeyReleased,'W',19.0776863
KeyPressed,W,19.4212352
KeyReleased,'W',19.7090374
KeyReleased,Key.shift,19.7409586
KeyReleased,'d',19.845122
KeyPressed,e,20.1730427
KeyReleased,'e',20.2772035
KeyPressed,e,22.0609954
KeyReleased,'e',22.1574601
KeyPressed,e,22.2531808
KeyReleased,'e',22.3654748
KeyPressed,Key.shift,23.8777267
KeyPressed,S,23.9018535
KeyPressed,D,24.0692098
KeyReleased,'S',24.2051656
KeyPressed,S,24.6214872
KeyReleased,'S',24.8691447
KeyPressed,Key.right,25.1651715
KeyPressed,Key.right,25.6651762
KeyPressed,Key.right,25.6980658
KeyPressed,Key.right,25.7320046
KeyPressed,Key.right,25.7650576
KeyPressed,Key.right,25.7980472
KeyPressed,Key.right,25.831003
KeyPressed,W,25.8452309
KeyReleased,Key.right,26.0132604
KeyReleased,'D',26.0293259
KeyPressed,D,26.413501
KeyReleased,'D',26.8773255
KeyPressed,D,27.0291039
KeyReleased,'D',27.2213154
KeyPressed,D,28.3892985
KeyReleased,'D',28.5409563
KeyReleased,Key.shift,29.2529956
KeyReleased,'w',29.3654547
KeyPressed,e,29.5413324
KeyReleased,'e',29.6375473
MouseMove,928,607,30.5997731
MouseMove,928,607,30.6009838
MouseMove,929,607,30.6020485
MouseMove,929,607,30.6030368
MouseMove,930,607,30.6041358
MouseMove,931,607,30.6052273
MouseMove,932,607,30.6063187
MouseMove,934,607,30.6076502
MouseMove,936,607,30.6097022
MouseMove,937,607,30.6107515
MouseMove,938,607,30.6118776
MouseMove,939,607,30.6129786
MouseMove,941,607,30.6141015
MouseMove,942,607,30.6152324
MouseMove,943,607,30.616331
MouseMove,945,608,30.6174247
MouseMove,947,609,30.618432
MouseMove,948,609,30.6193932
MouseMove,950,610,30.6203724
MouseMove,952,611,30.621361
MouseMove,953,611,30.6225403
MouseMove,955,612,30.6234462
MouseMove,956,612,30.6244278
MouseMove,958,613,30.6254948
MouseMove,959,615,30.6267352
MouseMove,963,616,30.6282403
MouseMove,965,617,30.6292645
MouseMove,966,618,30.63028
MouseMove,968,619,30.6313123
MouseMove,970,620,30.6323385
MouseMove,973,621,30.63357
MouseMove,975,623,30.6347417
MouseMove,979,625,30.6358861
MouseMove,981,626,30.636835
MouseMove,982,626,30.637733
MouseMove,984,627,30.6388033
MouseMove,986,629,30.6398929
MouseMove,988,630,30.6412829
MouseMove,991,631,30.6427331
MouseMove,995,633,30.6437814
MouseMove,996,634,30.6448986
MouseMove,998,635,30.6462358
MouseMove,1000,636,30.6471867
MouseMove,1002,637,30.6481484
MouseMove,1004,638,30.6490589
MouseMove,1005,639,30.6500948
MouseMove,1007,640,30.6515117
MouseMove,1008,641,30.6524242
